,corp_code,corp_name,stock_code,modify_date
0,00433350,KTB프라임8호혼합형사모펀드, ,20170630
0,00433369,유리명품장기채권형사모펀드3호, ,20170630
0,00433378,유리유니콘채권혼합형펀드, ,20170630
0,00433387,맥쿼리아이엠엠프라임7호채권형사모펀드, ,20170630
0,00433420,마이에셋애국성장형이호펀드, ,20170630
0,00433457,채권플러스알파2호펀드, ,20170630
0,00433466,마이다스사모프라임안정형2호펀드, ,20170630
0,00376073,테크포인트, ,20170630
0,00234306,부국개발, ,20170630
0,00429418,세닥에듀케이션, ,20170630
0,00429977,에이치엘홀딩스에스에이, ,20170630
0,00340786,크레디리요네증권, ,20170630
0,00218928,케이티인더스트리, ,20170630
0,00106793,김천상호저축은행, ,20170630
0,00378886,이화홀딩스, ,20170630
0,00433484,미래에셋유니온사모혼합형펀드2호, ,20170630
0,00433493,맥쿼리아이엠엠액티브채권형사모펀드3호, ,20170630
0,00433509,맥쿼리아이엠엠프라임6호혼합형사모펀드, ,20170630
0,00433518,유리명품장기채권형사모펀드2호, ,20170630
0,00406596,신우쉬핑, ,20170630
0,00443001,동흥컨설팅, ,20170630
0,00363741,디조콤, ,20170630
0,00436375,맘모스산업개발, ,20170630
0,00222277,아성, ,20170630
0,00446284,디토정보기술, ,20170630
0,00446682,오우디앤씨, ,20170630
0,00139995,에어웨이엑스프레스, ,20170630
0,00444602,탑월드, ,20170630
0,00446433,옥시큐어, ,20170630
0,00150314,진로종합유통, ,20170630
0,00231840,케이에프텍, ,20170630
0,00236243,나토상사, ,20170630
0,00309479,지오이네트, ,20170630
0,00447034,이십일세기종합건설, ,20170630
0,00447496,일현건설, ,20170630
0,00300928,삼영기공, ,20170630
0,00317566,삼능주택, ,20170630
0,00412001,동해, ,20170630
0,00155407,풍광직물, ,20170630
0,00443542,기성텍스타일, ,20170630
0,00179726,제텍스바론, ,20170630
0,00300982,국제개발, ,20170630
0,00298818,유유후마킬라, ,20170630
0,00424644,피앤씨미디어, ,20170630
0,00350570,비앤에프투자자문, ,20170630
0,00424316,한국부동산신탁제이차유동화전문유한회사, ,20170630
0,00368551,에이텍, ,20170630
0,00424307,덕경종합건설, ,20170630
0,00425078,글로벌스페셜혼합형사모펀드, ,20170630
0,00154499,태화, ,20170630
0,00424653,씨앤앰유동화전문유한회사, ,20170630
0,00414522,온누리방송, ,20170630
0,00425120,케이티엠, ,20170630
0,00356723,아이앤비골드문컨설팅, ,20170630
0,00375506,동국제강제일차유동화전문유한회사, ,20170630
0,00424769,밸류노믹스기업구조조정전문회사, ,20170630
0,00223300,조창, ,20170630
0,00378178,테크노켐, ,20170630
0,00360294,영지통상, ,20170630
0,00425209,RosewellConsulting&InvestmentLtd., ,20170630
0,00433527,유리시티즌장기채권형사모펀드, ,20170630
0,00433536,KTB장기채권형사모펀드3호, ,20170630
0,00433545,KTB장기채권형사모펀드4호, ,20170630
0,00433554,맥쿼리아이엠엠포세이돈채권형사모펀드4호, ,20170630
0,00433563,마이에셋애국안정형1호펀드, ,20170630
0,00434702,노보스, ,20170630
0,00434711,세이유니온채권혼합형사모펀드, ,20170630
0,00434720,LG드림혼합형펀드, ,20170630
0,00434739,알파그로스주식형펀드, ,20170630
0,00434748,유리알파헷지채권혼합형사모펀드, ,20170630
0,00434757,알파헷지이기욱혼합형펀드, ,20170630
0,00434775,맥쿼리IMM홀인원채권형펀드, ,20170630
0,00434793,유리시장중립채권형사모펀드, ,20170630
0,00434809,유리알파30채권혼합형사모펀드, ,20170630
0,00432573,파워외환카드제사차유동화전문유한회사, ,20170630
0,00432607,파워외환카드제이차유동화전문유한회사, ,20170630
0,00432643,케드제이차유동화전문유한회사, ,20170630
0,00323390,굿윌경영자문, ,20170630
0,00412861,국제금속산업, ,20170630
0,00443913,덕정무역, ,20170630
0,00315179,삼성코닝마이크로옵틱스, ,20170630
0,00165264,혜성건설, ,20170630
0,00368171,코스모에쿼티파트너스, ,20170630
0,00369480,경빈, ,20170630
0,00446196,내외시스템, ,20170630
0,00108311,태승어패럴, ,20170630
0,00105615,금동조명, ,20170630
0,00360197,태광정밀공업, ,20170630
0,00360364,게르마니셀로이드코리아, ,20170630
0,00366720,청우제강, ,20170630
0,00273536,필리아텔레콤, ,20170630
0,00443375,진도개발, ,20170630
0,00447511,만남과축복, ,20170630
0,00403872,영상산업, ,20170630
0,00243793,카이저산업, ,20170630
0,00441757,쌈솔, ,20170630
0,00445221,링크테크21, ,20170630
0,00448769,건화메디팜, ,20170630
0,00351357,윈윈창업투자, ,20170630
0,00371333,지티웹코리아, ,20170630
0,00392716,트랜스미디어매니지먼트, ,20170630
0,00424398,남성유통, ,20170630
0,00380322,무지개유동화전문유한회사, ,20170630
0,00387264,엘지화학제일차유동화전문유한회사, ,20170630
0,00425379,페가수스캐피탈아시아, ,20170630
0,00421595,한솔케미언스제일차유동화전문유한회사, ,20170630
0,00128564,삼천리M&C, ,20170630
0,00304757,넥스트디앤드에스, ,20170630
0,00407142,드림라인제일차유동화전문유한회사, ,20170630
0,00408044,동국산업제일차유동화전문유한회사, ,20170630
0,00112387,휴먼이노텍, ,20170630
0,00423539,자도, ,20170630
0,00103981,광전자INT, ,20170630
0,00416478,굿케이디비제삼차유동화전문유한회사, ,20170630
0,00418801,신엑스퍼트유동화전문, ,20170630
0,00419332,비발디제일차유동화전문유한회사, ,20170630
0,00418078,두산위브유동화전문유한회사, ,20170630
0,00419651,코오롱폴리스유동화전문유한회사, ,20170630
0,00251695,메디캐피탈, ,20170630
0,00432661,파워외환카드제삼차유동화전문유한회사, ,20170630
0,00430858,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사, ,20170630
0,00432670,서상금속, ,20170630
0,00434827,세이한가족주식형펀드, ,20170630
0,00434872,알파크레디트플러스채권형펀드, ,20170630
0,00434881,알파국공채채권형사모펀드, ,20170630
0,00434906,세이에이스알파혼합형펀드, ,20170630
0,00434915,맥쿼리IMM코리아플러스채권형펀드, ,20170630
0,00434924,맥쿼리IMM마켓뉴트럴혼합형사모펀드, ,20170630
0,00434933,세이원채권형펀드, ,20170630
0,00435093,그레이터차이나1호사모펀드, ,20170630
0,00435109,윌러스, ,20170630
0,00431820,디베스트사모엠엔에이펀드일호, ,20170630
0,00398525,미래에셋프리미어전환혼합형이호펀드, ,20170630
0,00260967,디지텔, ,20170630
0,00378956,유리세이프롱숏채권혼합형펀드, ,20170630
0,00164104,리젠트화재보험, ,20170630
0,00101266,경남리스금융, ,20170630
0,00412834,굿머니, ,20170630
0,00226343,한소닉테크, ,20170630
0,00150147,지산개발, ,20170630
0,00416937,지구환경산업, ,20170630
0,00132497,성도통상, ,20170630
0,00216461,에프샵, ,20170630
